statpal_id,our_event_id,espn_id,tournament,date,confidence,method
2631673,15301215,182745,USO-ATP,05.09.2026,high,pair+date
2631734,15301244,182691,USO-ATP,04.09.2026,high,pair+date
2631690,15301222,182747,USO-ATP,04.09.2026,high,pair+date
2631512,15301145,182689,USO-ATP,04.09.2026,high,pair+date
2631732,15301245,182740,USO-ATP,04.09.2026,high,pair+date
2631736,15301243,182723,USO-ATP,04.09.2026,low,token-fallback
2631518,15301156,182687,USO-ATP,04.09.2026,high,pair+date
2631735,15301242,182719,USO-ATP,04.09.2026,high,pair+date
2631929,15304209,182727,USO-ATP,04.09.2026,medium,pair+date±1
2631940,15304231,182737,USO-ATP,04.09.2026,medium,pair+date±1
2631278,15300939,182707,USO-ATP,04.09.2026,high,pair+date
2631627,15300833,182570,USO-ATP,03.09.2026,low,token-fallback
2631263,15300873,182756,USO-ATP,03.09.2026,high,pair+date
2631624,15301180,182700,USO-ATP,03.09.2026,high,pair+date
2631640,15301216,182695,USO-ATP,03.09.2026,high,pair+date
2631617,15301164,182684,USO-ATP,03.09.2026,high,pair+date
2629768,15293803,182663,USO-ATP,30.08.2026,low,token-fallback
2629687,15293815,182778,USO-ATP,30.08.2026,high,pair+date
2629681,15293836,182758,USO-ATP,30.08.2026,high,pair+date
2629762,15293810,182661,USO-ATP,30.08.2026,high,pair+date
2629760,15293827,182672,USO-ATP,30.08.2026,high,pair+date
2629759,15293841,182656,USO-ATP,30.08.2026,low,token-fallback
2629957,15296960,182654,USO-ATP,30.08.2026,high,pair+date
2629684,15293840,182774,USO-ATP,30.08.2026,high,pair+date
2629966,15295038,182667,USO-ATP,30.08.2026,high,pair+date
2629767,15293819,182678,USO-ATP,30.08.2026,high,pair+date
2629959,15295040,182733,USO-ATP,30.08.2026,high,pair+date
2629757,15293838,182665,USO-ATP,30.08.2026,high,pair+date
2629963,15295039,182657,USO-ATP,30.08.2026,high,pair+date
2629758,15293829,182680,USO-ATP,30.08.2026,high,pair+date
2629756,15293848,182670,USO-ATP,30.08.2026,high,pair+date
2629761,15293845,182675,USO-ATP,30.08.2026,high,pair+date
2629753,15293809,182658,USO-ATP,31.08.2026,medium,pair+date±1
2629689,15293807,182760,USO-ATP,31.08.2026,medium,pair+date±1
2630220,15298238,182673,USO-ATP,31.08.2026,high,pair+date
2629766,15293814,182655,USO-ATP,31.08.2026,medium,pair+date±1
2629765,15293805,182659,USO-ATP,31.08.2026,medium,pair+date±1
2629751,15293839,182669,USO-ATP,31.08.2026,medium,pair+date±1
2629680,15293919,182769,USO-ATP,31.08.2026,medium,pair+date±1
2629962,15295048,182718,USO-ATP,31.08.2026,high,pair+date
2629763,15293821,182705,USO-ATP,31.08.2026,medium,pair+date±1
2629958,15295042,182671,USO-ATP,31.08.2026,medium,pair+date±1
2629961,15295043,182765,USO-ATP,31.08.2026,medium,pair+date±1
2629964,15295046,182704,USO-ATP,31.08.2026,high,pair+date
2629755,15293825,182679,USO-ATP,31.08.2026,medium,pair+date±1
2629965,15295041,182763,USO-ATP,31.08.2026,medium,pair+date±1
2629685,15293818,182767,USO-ATP,31.08.2026,medium,pair+date±1
2629953,15295049,182664,USO-ATP,31.08.2026,high,pair+date
2629752,15293846,182674,USO-ATP,31.08.2026,medium,pair+date±1
2629662,15293806,182662,USO-ATP,31.08.2026,medium,pair+date±1
2629952,15295044,182743,USO-ATP,31.08.2026,high,pair+date
2629686,15293842,182754,USO-ATP,31.08.2026,medium,pair+date±1
2629675,15293843,182739,USO-ATP,31.08.2026,medium,pair+date±1
2629661,15293831,182666,USO-ATP,31.08.2026,medium,pair+date±1
2629674,15293844,182734,USO-ATP,31.08.2026,medium,pair+date±1
2629673,15293832,182701,USO-ATP,31.08.2026,medium,pair+date±1
2629764,15293816,182676,USO-ATP,31.08.2026,medium,pair+date±1
2629955,15295045,182668,USO-ATP,31.08.2026,high,pair+date
2629960,15295050,182753,USO-ATP,31.08.2026,high,pair+date
2629677,15299861,182742,USO-ATP,01.09.2026,low,token-fallback±1
2629676,15293834,182721,USO-ATP,01.09.2026,high,pair+date
2629678,15293828,182732,USO-ATP,01.09.2026,high,pair+date
2629666,15293824,182706,USO-ATP,01.09.2026,high,pair+date
2629682,15293833,182736,USO-ATP,01.09.2026,high,pair+date
2629950,15295052,182715,USO-ATP,01.09.2026,high,pair+date
2629951,15295051,182683,USO-ATP,01.09.2026,high,pair+date
2629688,15293820,182694,USO-ATP,01.09.2026,high,pair+date
2630219,15297970,182710,USO-ATP,01.09.2026,high,pair+date
2629660,15293813,182702,USO-ATP,01.09.2026,high,pair+date
2629690,15293804,182729,USO-ATP,01.09.2026,high,pair+date
2629667,15293811,182660,USO-ATP,02.09.2026,high,pair+date
2630622,15299603,182746,USO-ATP,02.09.2026,high,pair+date
2630217,15298555,182690,USO-ATP,02.09.2026,high,pair+date
2630551,15299604,182748,USO-ATP,02.09.2026,high,pair+date
2630553,15299606,182771,USO-ATP,02.09.2026,high,pair+date
2629665,15293826,182712,USO-ATP,02.09.2026,high,pair+date
2629683,15293808,182751,USO-ATP,02.09.2026,medium,pair+date±1
2629659,15293817,182697,USO-ATP,02.09.2026,high,pair+date
2629679,15293837,182750,USO-ATP,02.09.2026,high,pair+date
2630654,15299858,182730,USO-ATP,02.09.2026,high,pair+date
2631010,15300190,182703,USO-ATP,02.09.2026,low,token-fallback
2630623,15299720,182714,USO-ATP,02.09.2026,high,pair+date
2629956,15296961,182696,USO-ATP,02.09.2026,high,pair+date
2629664,15293830,182708,USO-ATP,02.09.2026,high,pair+date
2630218,15298556,182773,USO-ATP,02.09.2026,high,pair+date
2630514,15299482,182775,USO-ATP,02.09.2026,high,pair+date
2629954,15295047,182681,USO-ATP,02.09.2026,medium,pair+date±1
2630216,15298557,182776,USO-ATP,02.09.2026,high,pair+date
2629657,15293822,182685,USO-ATP,02.09.2026,medium,pair+date±1
2630620,15299607,182759,USO-ATP,02.09.2026,low,token-fallback
2630649,15299721,182720,USO-ATP,02.09.2026,high,pair+date
2630707,15299861,182742,USO-ATP,02.09.2026,high,pair+date
2630416,15299464,182693,USO-ATP,02.09.2026,high,pair+date
2630417,15299463,182779,USO-ATP,02.09.2026,high,pair+date
2630214,15298328,182761,USO-ATP,02.09.2026,high,pair+date
2630604,15299605,182764,USO-ATP,03.09.2026,high,pair+date
2631211,15300836,182725,USO-ATP,03.09.2026,high,pair+date
2630651,15299859,182713,USO-ATP,03.09.2026,high,pair+date
2630659,15299860,182698,USO-ATP,03.09.2026,high,pair+date
2631167,15300837,182755,USO-ATP,03.09.2026,high,pair+date
2631215,15300834,182711,USO-ATP,03.09.2026,high,pair+date
2630656,15299862,182752,USO-ATP,03.09.2026,high,pair+date
2631731,15301247,182529,USO-WTA,05.09.2026,high,pair+date
2631625,15301171,182537,USO-WTA,04.09.2026,high,pair+date
2631737,15301246,182543,USO-WTA,04.09.2026,high,pair+date
2631446,15301137,182565,USO-WTA,04.09.2026,high,pair+date
2631451,15301138,182545,USO-WTA,04.09.2026,high,pair+date
2631870,15302923,182586,USO-WTA,04.09.2026,medium,pair+date±1
2631689,15301214,182554,USO-WTA,04.09.2026,high,pair+date
